fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
1 abr 2025,"155,30","160,08","155,26","158,88","158,88",20.111.400
1 ago 2024,"171,98","175,68","170,51","172,45","171,83",17.177.800
1 jul 2024,"184,48","185,34","182,73","184,49","183,83",11.815.900
1 may 2025,"162,52","163,94","160,93","162,79","162,79",21.904.300
1 nov 2024,"171,54","173,82","170,31","172,65","172,26",21.752.900
1 oct 2024,"168,86","170,44","165,90","168,42","168,04",18.629.500
10 abr 2025,"158,76","160,03","152,20","155,37","155,37",35.270.500
10 dic 2024,"184,54","188,03","182,67","186,53","186,32",34.317.400
10 ene 2025,"195,42","197,62","191,60","193,17","192,95",20.753.800
10 feb 2025,"189,06","189,99","187,61","188,20","187,99",16.606.000
10 jul 2024,"190,75","193,31","190,62","192,66","191,97",12.052.900
10 jun 2024,"176,45","178,47","174,38","176,63","176,00",17.122.200
10 mar 2025,"170,16","170,45","165,57","167,81","167,81",28.990.700
10 may 2024,"169,69","171,34","167,91","170,29","169,49",18.740.500
10 oct 2024,"162,11","164,31","161,64","163,18","162,81",12.900.500
10 sept 2024,"151,45","152,30","149,54","150,01","149,67",20.401.800
11 abr 2025,"155,59","159,86","155,59","159,40","159,40",22.582.000
11 dic 2024,"186,70","196,89","186,26","196,71","196,49",41.664.500
11 feb 2025,"186,84","188,80","186,08","187,07","186,86",13.028.100
11 jul 2024,"191,34","192,41","186,82","187,30","186,63",16.452.000
11 jun 2024,"177,72","178,39","175,44","178,19","177,55",14.402.400
11 mar 2025,"166,68","168,65","163,24","165,98","165,98",23.705.900
11 nov 2024,"180,07","182,09","179,99","181,97","181,56",12.503.400
11 oct 2024,"163,33","165,27","162,50","164,52","164,15",10.946.000
11 sept 2024,"151,09","152,48","148,70","152,15","151,80",18.991.500
12 ago 2024,"165,99","166,70","163,55","163,95","163,36",12.435.000
12 dic 2024,"196,30","196,71","193,28","193,63","193,41",25.197.800
12 feb 2025,"185,23","186,83","183,63","185,43","185,22",17.632.300
12 jul 2024,"186,92","188,69","186,14","186,78","186,11",14.449.100
12 jun 2024,"179,75","182,08","177,78","179,56","178,92",18.600.400
12 mar 2025,"168,47","169,53","165,48","169,00","169,00",19.880.100
12 nov 2024,"181,38","184,02","180,99","183,32","182,90",14.065.800
12 sept 2024,"154,81","155,61","153,50","155,54","155,19",21.024.100
13 ago 2024,"165,18","166,54","164,77","165,93","165,34",12.717.600
13 dic 2024,"192,71","194,34","191,26","191,38","191,16",18.883.200
13 ene 2025,"191,35","192,49","188,66","192,29","192,07",13.169.100
13 feb 2025,"185,93","187,99","184,88","187,88","187,67",12.729.300
13 jun 2024,"177,84","178,51","176,66","176,74","176,11",15.956.900
13 mar 2025,"167,98","168,12","164,07","164,73","164,73",15.206.200
13 may 2024,"165,85","170,95","165,76","170,90","170,09",19.648.600
13 nov 2024,"182,15","182,62","180,12","180,49","180,08",13.969.700
13 sept 2024,"156,36","159,27","156,11","158,37","158,01",16.733.900
14 abr 2025,"162,31","164,03","159,92","161,47","161,47",18.255.900
14 ago 2024,"164,21","164,96","159,53","162,03","161,45",22.515.900
14 ene 2025,"192,50","193,27","189,64","191,05","190,83",13.651.200
14 feb 2025,"186,83","188,15","186,11","186,87","186,66",12.714.200
14 jun 2024,"175,85","178,73","175,85","178,37","177,73",12.361.600
14 mar 2025,"165,32","168,25","164,51","167,62","167,62",18.611.100
14 may 2024,"171,59","172,78","170,42","171,93","171,12",18.729.500
