fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,ticker
16 ene 2026,334.93,335.24,328.17,330.34,330.34,21785400,GOOG
15 ene 2026,338.05,338.13,331.29,333.16,333.16,16424900,GOOG
14 ene 2026,334.98,337.03,331.14,336.31,336.31,17839300,GOOG
13 ene 2026,335.28,341.2,334.35,336.43,336.43,24616700,GOOG
12 ene 2026,326.5,334.44,325.51,332.73,332.73,23893800,GOOG
9 ene 2026,327.49,331.48,326.25,329.14,329.14,17917700,GOOG
8 ene 2026,329.27,330.54,321.99,326.01,326.01,21789600,GOOG
7 ene 2026,314.57,326.46,314.5,322.43,322.43,24681800,GOOG
6 ene 2026,317.31,321.56,312.34,314.55,314.55,18989900,GOOG
5 ene 2026,317.7,319.25,315.25,317.32,317.32,19934000,GOOG
2 ene 2026,317.59,322.91,310.65,315.32,315.32,22043700,GOOG
31 dic 2025,313.37,315.39,312.2,313.8,313.8,10821500,GOOG
30 dic 2025,313.41,317.7,313.25,314.55,314.55,11052500,GOOG
29 dic 2025,312.82,314.97,311.9,314.39,314.39,12317700,GOOG
26 dic 2025,315.92,316.56,313.72,314.96,314.96,6730900,GOOG
24 dic 2025,316.15,316.29,313.32,315.67,315.67,6138200,GOOG
23 dic 2025,311.14,316.3,310.75,315.68,315.68,13961400,GOOG
22 dic 2025,311.23,311.7,306.59,311.33,311.33,14091400,GOOG
19 dic 2025,303.27,308.99,302.34,308.61,308.61,45234400,GOOG
18 dic 2025,303.06,305.26,300.63,303.75,303.75,21040500,GOOG
17 dic 2025,309.01,309.2,297.45,298.06,298.06,29120400,GOOG
16 dic 2025,306.0,311.85,303.83,307.73,307.73,21285200,GOOG
15 dic 2025,312.63,312.7,305.74,309.32,309.32,22028900,GOOG
12 dic 2025,314.8,316.14,306.96,310.52,310.52,21264800,GOOG
11 dic 2025,321.1,321.99,309.88,313.7,313.7,25912100,GOOG
10 dic 2025,316.62,321.87,315.4,321.0,321.0,22764500,GOOG
9 dic 2025,313.1,318.71,312.62,317.75,317.75,14151300,GOOG
8 dic 2025,321.03,321.23,311.91,314.45,314.45,22006900,GOOG
5 dic 2025,320.0,323.83,319.98,322.09,321.88,15719900,GOOG
4 dic 2025,323.05,323.1,315.59,318.39,318.18,20831600,GOOG
3 dic 2025,316.03,322.04,314.28,320.62,320.41,32285100,GOOG
2 dic 2025,316.9,318.6,314.22,316.02,315.81,24668200,GOOG
1 dic 2025,317.48,319.63,313.98,315.12,314.91,28520600,GOOG
28 nov 2025,323.43,326.88,316.94,320.12,319.91,19695800,GOOG
26 nov 2025,320.78,324.99,317.2,320.28,320.07,29839600,GOOG
